context,question,answer
"– When  you  leave  your  vehicle,
make  sure  to  press  the  engine
switch  to  change  the  ignition
mode  to  OFF.  Then,  carry  your
key  with  you  and  take  a  child  or
children out of the vehicle.

(Continued)

BEFORE DRIVING

WARNING

(Continued)

– When you open or close the front
passenger’s  window  or  the  rear
windows  on  the  driver’s  side,
check  that  the  other  passengers
and  children  do  not  take  their
hands and faces outside the vehi-
cle, before the window operation.
Also,  make  sure  to  inform  them
that you will perform the window
operation. 

• When you operate the electric win-
dow  controls  from  the  outside  of
the  window,  your  hands  or  neck
may  be  caught  by  the  window  and
an  accident  may  occur.  Do  not
operate  the  electric  window  con-
trols  from  the  outside  of  the  win-
dow.",What precaution should you take before opening or closing the windows?,"Before opening or closing the windows, you should check that other passengers and children do not have their hands and faces outside the vehicle. Additionally, you should inform them that you will be performing the window operation."
"NOTE:
If  you  drive  with  one  of  the  rear  windows
open, you may hear a loud sound caused
by air vibration. To reduce the sound, open
the driver’s or front passenger’s window, or
narrow the rear window opening.

3-18

55TH0-74E

WARNING

As  the  pinching  prevention  function
will  not  operate  until  its  initialization
is completed, an accident may occur.
Make  sure  to  perform  the  pinching
prevention function initialization.

If  the  AUTO-DOWN/UP  feature  will  not
work  after  initialization,  there  might  be
something wrong with the pinching preven-
tion function. Have your vehicle inspected
by Maruti Suzuki authorized workshop.

BEFORE DRIVING",What should you do if you hear a loud sound caused by air vibration while driving with one of the rear windows open?,"To reduce the loud sound caused by air vibration when driving with one of the rear windows open, you can either open the driver's or front passenger's window or narrow the rear window opening."
"BEFORE DRIVING

Pinching Prevention Function
The  driver’s  window  is  equipped  with  a
pinching prevention function. This function
detects  a  foreign  object  that  is  caught  in
the window as it is being closed by AUTO-
UP  feature, which  allows  you  to close  the
window without holding the window switch
in UP position, and stops the window from
closing to prevent damage.

WARNING

The  function  may  not  detect  the
object  depending  on  shape,  size,
hardness  and  position  of  the  object
caught  by  the  closing  window.  This
may cause severe injury.
Be  very  careful  when  opening  or
closing the windows.

CAUTION

• The  pinching  prevention  function
does  not  operate  while  you  are
holding  the  window  switch  in  UP
position.

• The  pinching  prevention  function
may not detect an object caught in
the window just before the window
is fully closed.",What is the purpose of the pinching prevention function in the driver's window?,The purpose of the pinching prevention function in the driver's window is to detect any foreign object that may be caught in the window as it is being closed and prevent the window from closing further to avoid damage or injury.
"NOTE:
Even if you cannot close the window by the
AUTO-UP  feature  because  there  may  be
something wrong with the pinching preven-

3-19

tion function, you can close the window by
holding the window switch in UP position.
If  you  drive  in  extreme  off-road  condition,
the pinching prevention function may oper-
ate  accidentally  because 
the  window
reacts to vehicle jolting.

Pinching  prevention  function  initializa-
tion
When  you  disconnect  and  reconnect  the
lead-acid  battery  or  replace  the  fuse,  the
function  will  be  deactivated.  In  this  condi-
tion,  the  AUTO-DOWN  feature  will  be
deactivated,  while  the  AUTO-UP  feature
may  remain  activated.  The  pinching  pre-
vention function needs to be initialized.
To  initialize  the  pinching  prevention  func-
tion, use the following procedure:
1) Turn the ignition switch to “ON” position
or  press  the  engine  switch  to  change
the ignition mode to ON.",What should you do if the pinching prevention function is not working and you cannot close the window using the AUTO-UP feature?,"If the pinching prevention function is not working and you cannot close the window using the AUTO-UP feature, you can manually close the window by holding the window switch in the UP position."
"2) Open the driver’s window fully by hold-
ing  the  window  switch  in  DOWN  posi-
tion.

3) Close  the  driver’s  window  by  holding
the  switch  in  UP  position,  and  keep
holding  the  switch  for  2  seconds  after
the window is fully closed.

4) Check the driver’s window to see if the

AUTO-DOWN/UP feature works.

55TH0-74E

Headlight Leveling Switch

For Petrol Model

For CNG Model

Halogen 
headlight

LED 
headlight

Switch Position

0

0

1.5

0

0

1

2.5

1.5

4

3

Vehicle Load 
Condition

Driver only

Driver + 1 pas-
senger 
(in front seat)

Driver + 4 pas-
sengers, 
no cargo

Driver + 4 pas-
sengers, 
cargo added

Driver + full 
cargo

Vehicle Load 
Condition

Driver only

Driver + 1 pas-
senger 
(in front seat)

Driver + 4 pas-
sengers, 
no cargo

Driver + 4 pas-
sengers, 
cargo added

Driver + full 
cargo

75RM008",How do you open and close the driver's window using the window switch?,"To open the driver's window, you need to hold the window switch in the DOWN position. To close the driver's window, you need to hold the switch in the UP position and keep holding it for 2 seconds after the window is fully closed."
"Driver + 4 pas-
sengers, 
cargo added

Driver + full 
cargo

75RM008

Level the headlight beam according to the
load  condition  of  your  vehicle  by  turning
this switch. The chart shows the appropri-
ate switch position for different vehicle load
conditions.

BEFORE DRIVING

Halogen headlight

Switch Position

0

0

1.5

NA

NA

3-20

55TH0-74E

BEFORE DRIVING

Lighting Control Lever
Automatic Light Operation
(if equipped)

(3) (4)

(2)

(1)

3-21

Your vehicle’s lighting system is controlled by two main systems: the lighting control lever
and the auto-on headlight system (when the lighting switch is in “AUTO” position).
The two systems work together to operate your lights as shown in the following chart:

ON: Lights ON
LIGHT: When it is light around the light sensor (5).
DARK: When it is dark around the light sensor (5).

Lighting 
switch 
position

Main lights to 
be operated

Ignition switch in the 
“LOCK” or “ACC” position / 
Ignition mode 
LOCK (OFF) or ACC",What is the purpose of the lighting control lever and the auto-on headlight system in the vehicle?,The purpose of the lighting control lever and the auto-on headlight system in the vehicle is to control and operate the lights of the vehicle based on the lighting conditions and the position of the ignition switch.
"Ignition switch in the 
“LOCK” or “ACC” position / 
Ignition mode 
LOCK (OFF) or ACC

Ignition switch in the 
“ON” position / 
Ignition mode ON

LIGHT

DARK

LIGHT

DARK

Position lights, 
Tail lights

Headlights

Position lights, 
Tail lights

Headlights

Position lights, 
Tail lights

Headlights

Position lights, 
Tail lights

Headlights

–

–

–

–

ON

–

ON

ON

–

–

–

–

ON

–

ON

ON

–

–

–

–

ON

–

ON

ON

–

–

ON

ON

ON

–

ON

ON

55TB301

(1) OFF

(2)  AUTO
(if
equipped)

(3) 

（5）

(4) 

55T030190

55TH0-74E

To  turn  the  lights  on  or  off,  twist  the  knob
on  the  end  of  the  lighting  control  lever.
There are four positions:

OFF (1)
All lights are off.",What are the four positions of the lighting control lever?,"The four positions of the lighting control lever are OFF, AUTO (if equipped), (3), and (4)."
"OFF (1)
All lights are off.

AUTO (2) (if equipped)
This  function  works  when  the  ignition
switch  is  turned  to  “ON”  position  or  the
engine  switch  is  pressed  to  change  the
ignition  mode  to  ON.  The  headlights  and
position  lights  are  turned  on  and  off  auto-
matically  according  to  the  amount  of  out-
side  light  detected  by  a  sensor.  They  go
out  automatically  when  you  turn  the  igni-
tion switch to “ACC” or “LOCK” position or
change the ignition mode to ACC or LOCK
(OFF) by pressing the engine switch.

The light sensor (5) for sensing the amount
of outside light is installed on the passen-
ger’s seat side of instrument panel.

CAUTION

If  the  light  sensor  area  of  the  wind-
shield  is  covered  with  mud,  ice,  or
other  similar  substances,  the  head-
lights  and  position  lights  may  be
turned  on  even  when  it  is  still  light
outside.",What happens when the ignition switch is turned to the "ON" position or the engine switch is pressed to change the ignition mode to ON?,"When the ignition switch is turned to the ""ON"" position or the engine switch is pressed to change the ignition mode to ON, the headlights and position lights are turned on and off automatically according to the amount of outside light detected by a sensor."
"NOTE:
• Avoid  covering  the  light  sensor  area  of
the windshield with a sticker. The sticker
may impair the performance of the sen-

BEFORE DRIVING

With the headlights on, push the lever for-
ward  to  switch  to  the  high  beams  (main
beams)  and  pull  the  lever  toward  you  to
switch  to  the  low  beams.  When  the  high
beams (main beams) are on, a light on the
instrument  cluster  will  come  on.  To
momentarily activate the high beams (main
beams) as a passing signal, pull the lever
slightly toward you and release it when you
have completed the signal.

Auto-on headlight system
(if equipped)

sor and make the system unable to con-
trol operation of the lights correctly.",What should you avoid doing to the light sensor area of the windshield?,You should avoid covering the light sensor area of the windshield with a sticker.
"sor and make the system unable to con-
trol operation of the lights correctly.

• If  you  turned the  ignition  switch to  “ON”
position or changed the ignition mode to
ON  by  pressing  the  engine  switch  and
“AUTO”  position  remains  selected,  the
headlights  and  position  lights  come  on
automatically  as  it  gets  dark  outside,
even with the engine not running. Leav-
ing the lights lit for a long time may lead
to a completely discharged battery.

 (3)

Front  position  lights,  tail  lights,  license
plate light and instrument lights are on, but
headlights are off.

 (4)

Front  position  lights,  tail  lights,  license
plate light, instrument lights and headlights
are on.

（5）

55T030190
The  auto-on  headlight  system  automati-
cally turns on all lights that are operated by
the  lighting  switch,  when  the  following
three conditions are all met.

Conditions  for  auto-on  headlight  system
operation:
1) It is dark around the light sensor (5).

55TB302

3-22",What are the conditions for the auto-on headlight system to operate?,The conditions for the auto-on headlight system to operate are when it is dark around the light sensor.
"55TB302

3-22

55TH0-74E

BEFORE DRIVING

2) The  lighting  switch  is  in  “AUTO”  posi-

tion.

3) You  turn  the  ignition  switch  to  “ON”
position  or  press  the  engine  switch  to
change the ignition mode to ON.

This  system  is  activated  by  a  signal  from
the light sensor (5) on the passenger side
of instrument panel. Do not cover the sen-
sor (5). Otherwise, the system will not work
correctly.

WARNING

It takes about 5 seconds for the light
sensor  to  react  to  a  change  in  light-
ing conditions. To help avoid an acci-
dent due to reduced visibility, turn on
your headlights before driving into a
tunnel, parking structure, etc.

NOTE:
The  light  sensor  reacts  even  to  infrared
rays,  so  it  may  operate  incorrectly  when
there are strong infrared rays.

3-23",What activates the lighting system in the car?,The lighting system in the car is activated by a signal from the light sensor on the passenger side of the instrument panel.
"3-23

Light Reminder Buzzer
The  interior  buzzer  continuously  beeps  if
you open the driver’s  door without turning
off  the  headlights  and  position  lights. This
function  is  triggered  under  the  following
condition:
The  headlights  and/or  position  lights  are
on  even  after  the  ignition  switch  is  turned
off,  or  the  engine  switch  is  pressed  to
change the ignition mode to LOCK (OFF).

The buzzer stops sounding when you turn
off the headlights and position lights.

NOTE:
A message is indicated on the information
display  in  the  instrument  cluster  while  the
buzzer is sounding.

Daytime Running Light (D.R.L.) 
System (if equipped)
When  the  engine  is  started,  the  daytime
running lights are turned on by this system.

Conditions for D.R.L. system operation
1) The engine is running.
2) Headlights are off.

NOTE:
Brightness of the daytime running lights is
different from the brightness of the position
lights, but it is not a malfunction.",What triggers the interior buzzer to continuously beep in the car?,The interior buzzer continuously beeps if you open the driver's door without turning off the headlights and position lights.
"Guide Me Light (if equipped)
Guide  me  light  has  two  functions  of  “To
home” and “To car” for improving your visi-
bility in the dark.

“To home” function 

Even  after  you  leave  the  car,  the  ground
will be illuminated for a short while with this
function. You can turn on the front position
lights  and  the  headlights  in  the  low  beam
setting for about 10 seconds after the igni-
tion switch is turned to “LOCK” position or
the engine switch is pressed to change the
ignition mode to LOCK (OFF).

To set the function:
1) Turn the lighting switch to “AUTO” posi-

tion.

2) Turn the ignition switch to “LOCK” posi-
tion  or  press  the  engine  switch  to
change  the  ignition  mode  to  LOCK
(OFF).

3) Pull  the  lighting  control  lever  toward
you  once  and  open  the  driver’s  side
door  within  60  seconds.  Or  pull  the
lighting  control  lever  toward  you  once
while the driver’s side door is open.

55TH0-74E",What is the purpose of the "To home" function in the Guide Me Light feature?,"The purpose of the ""To home"" function in the Guide Me Light feature is to illuminate the ground for a short while after you leave the car, improving visibility in the dark."
"55TH0-74E

To cancel the function:
Perform any of the following operations.
• Lock  the  doors  by  using  the  keyless
push start system remote controller, the
request switch  or the key  in  the  driver’s
door lock.

• Change the ignition mode to ACC or ON

by pressing the engine switch.

• Turn  the  ignition  switch  to  ACC  or  ON
position or the engine switch is pressed
to  change  the  ignition  mode  to ACC  or
ON.

• Turn  the  knob  at  the  end  of  the  lighting
control  lever  to  any  other  position  than
AUTO position.

NOTE:
• When  the  “To  car”  is  functioning,  the
front  fog  lights  (if  equipped),  rear  fog
light  (if  equipped)  and  the  headlights
(high beam) are not turned on.

• Lighting time of the “To car” function can
be  changed  on  the  information  display.
Refer 
in
“Information  display” 
“INSTRUMENT CLUSTER” section.

to 

To cancel the function:
Perform any of the following operations.
• Pull the lighting control lever toward you

once.",How can the "To car" function be cancelled?,"The ""To car"" function can be cancelled by performing any of the following operations:
- Locking the doors using the keyless push start system remote controller, the request switch, or the key in the driver's door lock.
- Changing the ignition mode to ACC or ON by pressing the engine switch.
- Turning the ignition switch to ACC or ON position or pressing the engine switch to change the ignition mode to ACC or ON.
- Turning the knob at the end of the lighting control lever to any other position than AUTO position.
- Pulling the lighting control lever toward you once."
"once.

• Turn the ignition switch to “ACC” or “ON”
position  or  change  the  ignition  mode  to
ACC  or  ON  by  pressing  the  engine
switch.

• Turn  the  lighting  switch  to  any  other

position than “AUTO” position.

NOTE:
• When  the  “To  home”  is  functioning,  the
front  fog  lights  (if  equipped),  rear  fog
light  (if  equipped)  and  the  headlights
(high beam) are not turned on.

• Lighting  time  of  the  “To  home”  function
can  be  changed  on  the  information  dis-
play.  Refer  to  “Information  display”  in
“INSTRUMENT CLUSTER” section.",What should you do to activate the "To home" function in your car?,"To activate the ""To home"" function in your car, you need to follow these steps:

1. Turn the ignition switch to the ""ACC"" or ""ON"" position, or change the ignition mode to ACC or ON by pressing the engine switch.
2. Turn the lighting switch to any position other than the ""AUTO"" position."
"“To car” function
Before  you  get  in  the  vehicle,  the  ground
will be illuminated for a short while to easily
lead  the  driver  to  the  vehicle.  If  UNLOCK
button  of  the  keyless  push  start  system
remote controller is pressed while the light-
ing  switch  is  positioned  in  “AUTO”,  the
front  position  lights  and  the  headlights  in
the  low  beam  are  turned  on  for  10  sec-
onds.
This  function  will  operate  only  when  it  is
dark outside the vehicle.

BEFORE DRIVING

Turn Signal Control Lever
You  can  use  the  turn  signal  control  lever
when the ignition switch in “ON” position or
the ignition mode ON.

Turn Signal Operation
With the ignition switch in “ON” position or
the  ignition  mode  ON,  move  the  lever
upward or downward to activate the left or
right turn signals.

Turning left

(a)
(a)

(1)(
(1)

(b)
(b)

Turning right

55TB303

• Move the turn signal control lever (1) as",How does the "To car" function work in the vehicle?,"The ""To car"" function in the vehicle illuminates the ground before the driver gets in, making it easier for them to locate the vehicle. If the UNLOCK button on the keyless push start system remote controller is pressed while the lighting switch is in the ""AUTO"" position, the front position lights and low beam headlights will turn on for 10 seconds. This function only operates when it is dark outside."
"(a)
(a)

(1)(
(1)

(b)
(b)

Turning right

55TB303

• Move the turn signal control lever (1) as

follows:
– Turning left: Move the lever upward.
– Turning  right:  Move  the  lever  down-

ward

• When you move the lever, the turn signal
lights as well as the turn signal light indi-
cators on the instrument cluster will flash
simultaneously.

• When  you  move  the  lever  to  its  original
position, the turn signal lights as well as

3-24

55TH0-74E

BEFORE DRIVING

the  turn  signal  light  indicators  on  the
instrument cluster will be turned off.

NOTE:
If the angle by which you turn the steering
wheel  is  small,  the  lever  will  not  return
automatically to its original position. In this
case, return the lever to its original position
manually.

Lane change signal

mation display. Refer to “Information dis-
play” 
“INSTRUMENT  CLUSTER”
section.

in",How do you activate the turn signal when turning right in the car?,"To activate the turn signal when turning right in the car, you need to move the turn signal control lever downward."
"mation display. Refer to “Information dis-
play” 
“INSTRUMENT  CLUSTER”
section.

in 

• You  can  customize  the  setting  for  the
number of flashing times of the turn sig-
nal  and  its  indicator  (1  to  4  times).
Please  ask  Maruti  Suzuki  authorized
workshop for the customization.

Hazard Warning Switch

55TB304
Move  the  lever  partially  upward  or  down-
ward to when turning leftward or rightward
and hold the lever in the moved position.
• The  turn  signal  and  its  indicator  flash
while the lever is held at the moved posi-
tion.

• The  turn  signal  and  its  indicator  flash  3
times  even  if  you  returned  the  lever
immediately after the activation.

NOTE:
• The  turn  signal  and  its  indicator  can  be
set  whether  they  flash  3  times  after  the
turn signal lever is returned via the infor-

3-25

55TB0302",How can I customize the number of flashing times of the turn signal and its indicator?,"To customize the number of flashing times of the turn signal and its indicator, you will need to contact a Maruti Suzuki authorized workshop for the customization."
"3-25

55TB0302

You can use the hazard warning switch to
warn  the  other  drivers  of  possible  risk  of
traffic  hazard  when  you  park  your  vehicle
in case of emergency.
• Push the hazard warning switch to acti-
vate  the  hazard  warning  lights.All  the
turn signal lights as well as both turn sig-
nal indicators will flash simultaneously.
• Push the switch again to turn off the haz-

ard warning switch.

• The instrument panel in the above figure
is  a  typical  example;  the  actual  equip-
ment depends on the vehicle type.

NOTICE
If you use the hazard warning switch
for  many  hours  with  the  engine
stopped,  the  lead-acid  battery  may
run out.
Do not use the hazard warning switch
for  many  hours  with  the  engine
stopped.

55TH0-74E

Windshield Wiper and Washer 
Lever

When  the  ignition  switch  in  “ON”  position
or the ignition mode ON, you can use the
wiper/washer lever.

CAUTION",How can you activate the hazard warning lights in case of an emergency?,"To activate the hazard warning lights in case of an emergency, you can push the hazard warning switch."
"CAUTION

In  cold  weather,  the  sprayed  washer
fluid on the glass may get frozen and
it  may  cause  poor  visibility  to  a
driver. Use the defroster to warm the
glass  and  spray  the  washer  fluid.
Refer  to  “Heating And Air  Condition-
ing” in the “OTHER CONTROLS AND
EQUIPMENT” section.

NOTICE
• If you use the wipers with the glass
dried, the glass and the wiper blade
rubbers  may  be  damaged.  When
the  glass  is  dry,  use  the  washer
fluid and then use wipers.

• If  you  operate  the  wipers  with  the
wiper  blades  stuck  on  the  glass,
the  wiper  blade  rubbers  may  be
damaged or the wipers may be bro-
ken.  When  the  wiper  blades  are
stuck  on  the  glass,  do  not  operate
the wipers.

• If  you  use  the  washer  when  the
washer  fluid  cannot  be  sprayed
enough,  the  washer  pump  may  be
broken. When the washer fluid can-
not be sprayed enough, turn off the
washer switch.

BEFORE DRIVING",What should you do if the sprayed washer fluid on the glass gets frozen in cold weather?,"In cold weather, if the sprayed washer fluid on the glass gets frozen, you should use the defroster to warm the glass and then spray the washer fluid."
"BEFORE DRIVING

When  the  operative  wipers  suddenly
stop
When  the  wipers  are  under  heavy  load
such  as  covered  by  snow  and  the  tem-
perature of the wiper motor becomes high,
the  breaker  will  be  activated  and  the  wip-
ers  will  temporarily  stop  to  protect  the
wiper motor from overheating.
If this happens, perform the following oper-
ations:

1) Stop  the  vehicle  in  a  safe  place,  and
turn  the  ignition  switch  to  “ACC”  or
“LOCK”  position  or  press  the  engine
switch  to  change  the  ignition  mode  to
ACC or LOCK (OFF).

2) Move  the  wiper  lever  and  switch  to

“OFF” position.

3) Remove obstacles such as snow on the

wipers.

4) After  a  while,  when  the  temperature  of
the  wiper  motor  becomes  low  enough,
the  breaker  will  be  reset  automatically
and you can use the wipers. 

If you cannot use the wipers after a while,
there may be another problem. Ask Maruti
Suzuki  authorized  workshop  to  have  the
wipers inspected.

3-26",What should you do if the wipers suddenly stop while driving?,"If the wipers suddenly stop while driving, you should follow these steps:
1) Stop the vehicle in a safe place and turn the ignition switch to ""ACC"" or ""LOCK"" position, or press the engine switch to change the ignition mode to ACC or LOCK (OFF).
2) Move the wiper lever and switch to the ""OFF"" position.
3) Remove any obstacles such as snow on the wipers.
4) After a while, when the temperature of the wiper motor becomes low enough, the breaker will be reset automatically and you can use the wipers again."
"3-26

55TH0-74E

BEFORE DRIVING

Windshield Wipers

(1)(1)

(1)(1)

Windshield Washer

55TB306

If the lever is equipped with “INT TIME”
control,  turn  the  control  forward  or  back-
ward to adjust the intermittent wiper opera-
tion to the desired interval.

55TB307

If  you  pull  the  lever  (1)  toward  you,  the
windshield  washer  fluid  will  be  sprayed
and  the  windshield  wipers  will  automati-
cally operate a few times.

WARNING

• To prevent windshield icing in cold
weather,  turn  on  the  defroster  to
heat  the  windshield  before  and
during windshield washer use.

• Do  not  use  radiator  antifreeze  in
the  windshield  washer  reservoir.  It
can  severely  impair  visibility  when
sprayed on the windshield, and can
also damage your vehicle’s paint.

You can operate the windshield wipers by
moving the lever (1) upward or downward.

55TB305

MIST

OFF

INT

LO

HI

Temporary　operation  only
while the lever is up

Off

Intermittent operation

Low speed operation",How can you adjust the intermittent wiper operation to the desired interval?,You can adjust the intermittent wiper operation to the desired interval by turning the "INT TIME" control forward or backward.
"Temporary　operation  only
while the lever is up

Off

Intermittent operation

Low speed operation

High speed operation

3-27

55TH0-74E

NOTICE
To help prevent damage to the wind-
shield  wiper  and  washer  system
components, you should take the fol-
lowing precautions:
• Do not continue to hold in the lever
when 
is  no  windshield
washer  fluid  being  sprayed  or  the
washer motor can be damaged.
• Do not attempt to remove dirt from
a dry windshield with the wipers or
you  can  damage  the  windshield
and  the  wiper  blades.  Always  wet
the  windshield  with  washer  fluid
before operating the wipers.

there 

• Clear ice or  packed snow from the
wiper blades before using the wip-
ers.

• Check  the  washer  fluid  level  regu-
it  often  when  the

larly.  Check 
weather is bad.

Rear Window Wiper

Rear Window Washer

BEFORE DRIVING

(2)
(2)

(2)
(2)

(2)(2)

You can operate the rear window wiper by
twisting the lever (2) as shown in the illus-
tration.

55TB308

ON

INT",How should you prevent damage to the windshield wiper and washer system components?,"To prevent damage to the windshield wiper and washer system components, you should avoid holding in the lever when there is no windshield washer fluid being sprayed, as it can damage the washer motor. Additionally, do not attempt to remove dirt from a dry windshield with the wipers, as it can damage both the windshield and the wiper blades. Always wet the windshield with washer fluid before operating the wipers."
"55TB308

ON

INT 

OFF

Normal operation

Intermittent operation

Off

NOTICE
Clear  ice  or  snow  from  the  rear  win-
dow  and  rear  wiper  blade  before
using  the  rear  wiper.  Accumulated
ice  or  snow  could  prevent  the  wiper
blade  from  moving,  causing  damage
to the wiper motor.

55TB309

• If  you  twist  the  lever  (2)  in  the  direction
of  and align it to 
 (washer) position
above  “ON”  position,  the  rear  window
washer fluid will be sprayed and the rear
wiper will operate simultaneously. If you
release  your  hand  from  the  lever,  it  will
return to “ON” position.

• If  you  twist  the  lever  (2)  in  the  direction
of  and align it to 
 (washer) position
below  “OFF”  position,  the  rear  window
washer fluid will be sprayed and the rear
wiper  will  operate  simultaneously.　If
you release  your hand from the  lever, it
will return to “OFF” position.

3-28

55TH0-74E

BEFORE DRIVING

Horn

Heated Rear Window Switch

(1)

55T030300",What should you do before using the rear wiper?,"Before using the rear wiper, you should clear any ice or snow from the rear window and rear wiper blade to prevent damage to the wiper motor."
"3-28

55TH0-74E

BEFORE DRIVING

Horn

Heated Rear Window Switch

(1)

55T030300

While  the  engine  is  running  or  the  engine
automatically  stops  by  the  ENG  A-STOP
system, you can use the heated rear win-
dow  switch  as  the  defogger  for  the  rear
window glass. 
Refer  to  “ENG  A-STOP  System  (Engine
Auto  Stop  Start  System)  (if  equipped)”  in
the  “OPERATING  YOUR  VEHICLE”  sec-
tion.

• If you push the rear defogger switch, the
rear window glass will be heated and the
indicator light (1) will turn on. To turn off
the defogger, push the switch again.

• The  defogger  will  automatically  turn  off
after the defogger remains on for 15 min-
utes  to  prevent  discharging  of  the  lead-
acid battery.

• If you turn the ignition switch to “ACC” or
“LOCK”  position  or  press  the  engine

52RM20420

Press the horn button of the steering wheel
to sound the horn. The horn will sound with
the  ignition  switch  in  any  position  or  any
ignition mode.

3-29",How long does the defogger remain on before automatically turning off?,The defogger will automatically turn off after remaining on for 15 minutes to prevent discharging of the lead-acid battery.
"3-29

switch  to  change  the  ignition  mode  to
ACC  or  LOCK  (OFF)  with  the  defogger
on,  the  defogger  will  not  automatically
operate  even  if  you  start  the  engine
again.

NOTICE
The  heated  rear  window  use  a  large
amount  of  electricity.  If  you  do  not
turn  off  the  switch  after  the  window
and  mirrors  have  become  clear,  the
battery  may  run  out.  To  protect  the
lead-acid  battery,  turn  off  the  switch
shortly after the window and mirrors
have become clear.
Also, do not use the defogger to melt
snow or dry rain water.

NOTE:
• When  you  wipe  the  interior  side  of  the
rear  window  glass,  use  a  soft  cloth
dampened with water and wipe the glass
along the heat wires, not to damage the
heat wires and the terminals.

• The  defogger  will  work  only  when  the

engine is running.

55TH0-74E

INSTRUMENT CLUSTER",What should you do to protect the battery when using the heated rear window?,"To protect the battery when using the heated rear window, you should turn off the switch shortly after the window and mirrors have become clear."
"• The  defogger  will  work  only  when  the

engine is running.

55TH0-74E

INSTRUMENT CLUSTER

INSTRUMENT CLUSTER
Instrument Cluster (Type A) ............................................... 4-1
Information Display (Type A)  ............................................. 4-4
Instrument Cluster (Type B) ............................................... 4-14
Information Display (Type B)  ............................................. 4-17
Warning and Indicator Lights  ............................................ 4-42

4

59RN04640

55TH0-74E

INSTRUMENT CLUSTER

Instrument Cluster (Type A)

(1) Speedometer
(2) Tachometer
(3) Information display

(4) Trip meter selector knob
(5) Indicator selector knob
(6) Warning and indicator lights

(7) Fuel gauge
(8) Temperature gauge

(4)

(2)

(6)

(1)

(5)

(6)

(7)

(3)

(8)

(6)

NOTE:
For vehicle fitted with CNG fuel system, refer to the supplementary owner's manual.

4-1

55TB403

55TH0-74E

INSTRUMENT CLUSTER",When will the defogger work?,The defogger will work only when the engine is running.
"4-1

55TB403

55TH0-74E

INSTRUMENT CLUSTER

NOTICE
To  minimize  the  possibility  of  dam-
age  to  catalytic  converter  or  other
components  of  the  vehicle,  avoid
driving  the  vehicle  near  empty  fuel
tank level.

NOTE:
The activation point of the low fuel warning
light  (1)  varies  depending  on  road  condi-
tions  (for  example,  slope  or  curve)  and
driving  conditions  because  of  fuel  move-
ment in the tank.

Refer to “Low fuel warning light” in “Warn-
ing  and  indicator  lights”  in  this  section  for
details.

The  mark  (2)  indicates  that  the  fuel  filler
door is located on the left side of the vehi-
cle.

Speedometer
The  speedometer  indicates  vehicle  speed
in km/h.",What does the mark (2) indicate in the instrument cluster?,The mark (2) in the instrument cluster indicates that the fuel filler door is located on the left side of the vehicle.
"Speedometer
The  speedometer  indicates  vehicle  speed
in km/h.

Speed Alert System
The  speed  alert  system  gives  audible
warning  for  alert  of  over-speed  to  driver.
When vehicle speed exceeds about 80 km/
h, primary level warning with two beeps will
sound  every  minute.  When  the  vehicle
speed  exceeds  about  120  km/h,  second-
ary  level  warning  with  continuous  beeps
will sound. 
If  the  vehicle  speed  is  slowed  down  to
about  118  km/h,  primary  warning  will
resume.  If  the  vehicle  is  slowed  down  to
about  78  km/h,  speed  alert  warning  will
stop.  This  buzzer  does  not  indicate  any
malfunction in vehicle.

Tachometer
The tachometer indicates engine speed in
revolutions per minute.",What does the speed alert system do?,The speed alert system gives an audible warning to the driver when the vehicle exceeds a certain speed.
"Tachometer
The tachometer indicates engine speed in
revolutions per minute.

NOTICE
Never  drive  the  vehicle  with  the
engine  revving  in  the  red  zone  or
severe engine damage can result.
Keep the engine speed below the red
zone  even  when  downshifting  to  a
lower gear position.
Refer  to  “Downshifting  maximum
allowable  speeds”  in  “OPERATING
YOUR VEHICLE” section.

Fuel Gauge

(1)

(2)

66T020300

When the ignition switch is in “ON” position
or  the  ignition  mode  is  ON,  this  gauge
gives  a  rough  indication  of  the  amount  of
fuel in the fuel tank. “F” stands for full and
“E” stands for empty.

If  the  fuel  meter  indicator  shows  only  one
segment  to  “E”,  refill  the  tank  as  soon  as
possible.

NOTE:
If the last segment blinks, it means that the
fuel is almost empty.

If the low fuel warning light (1) comes on,
refill the fuel tank immediately.

4-2

55TH0-74E

INSTRUMENT CLUSTER

Temperature Gauge

Brightness Control

H

C

(1)

74TB0401

52RS20090",What does the tachometer indicate?,The tachometer indicates engine speed in revolutions per minute.
